Gas-z1,Gas-z2,Gas turbine-z1,Gas turbine-z2,Wind-z1,Wind-z2,Solar-z1,Solar-z2,Nuclear-z1,Nuclear-z2,Coal-z1,Coal-z2,Battery-z1,Index,Investment_Cost,EV_SystemCost,CVaR_SystemCost,CVaR_OpCost,EV_OpCost,Expected_Power_Price,Cost_by_zone_baseZone1,Price_by_zone_baseZone1,Cost_by_zone_baseZone2,Price_by_zone_baseZone2,Expected_emissions,CO2_by_zone_baseZone1,CO2_by_zone_baseZone2
3408.257699554906,1.0e-5,4901.890516992703,6365.415944527216,18654.16588682099,1.0e-5,9880.641274464802,1.0e-5,1.0e-5,16327.081919128943,1.0e-5,123.0780611669201,1210.8102780650313,Sample 32,4.0722812309499683e9,4.594578839836748e9,5.013690661584528e9,1.3605212523823385e9,5.2229760888677967e8,9.069274339214454,1.5643382067364726e7,9.225551244696495,1.9814027724173073e7,8.91299743373241,4.55856070820353e6,3.2471641305206884e6,1.311396577682832e6
3587.2860549564107,1.0e-5,4978.105894740833,5426.1253281963845,20354.209944711143,1.0e-5,9604.181417855356,1.0e-5,1.0e-5,15598.108949619074,1.0e-5,1298.832966075828,1215.6628064729593,Sample 33,4.1249843375597878e9,4.618402078806549e9,5.009168966630743e9,1.274951516895149e9,4.934177412467614e8,8.2723211357908,1.316963306721008e7,8.34620338521319,2.012693763618609e7,8.198438886368411,5.930534709865406e6,2.803138328583386e6,3.1273963812820283e6
2035.7457374554144,1.0e-5,6775.057828005433,5363.809969169956,19290.229666446347,1.0e-5,9911.46962201778,1.0e-5,1.0e-5,15321.569891634665,1.0e-5,1722.3199878363605,686.9171400459294,Sample 34,4.0576774429661427e9,4.590921227555195e9,5.012913694711089e9,1.3772287189008408e9,5.3324378458905214e8,9.25636751300147,1.3077401774457091e7,9.362689291535393,2.307816610260195e7,9.150045734467554,7.045567469775041e6,2.768562401225775e6,4.277005068549263e6
6089.625966927123,1.0e-5,2274.5805079058655,6126.355018815622,19635.288395810414,1.0e-5,10514.211651490828,1.0e-5,1.0e-5,15172.480661527032,1.0e-5,1068.319641200061,1098.2005682450274,Sample 35,4.0756764157764797e9,4.599617679769981e9,5.021724311249901e9,1.3681545269533412e9,5.2394126399350137e8,9.52081357809284,1.6535451995808415e7,9.555551182986774,1.8940068843955345e7,9.486075973198913,6.149559093298393e6,3.4286899364714944e6,2.7208691568268957e6
3053.1846833539416,1.0e-5,5004.6689709084785,6308.204299561428,20348.252914016233,1.0e-5,11728.623875308054,1.0e-5,1.0e-5,14985.223772401987,1.0e-5,1218.7133968579935,1200.092076502982,Sample 36,4.101485839125544e9,4.604557800819094e9,5.013320569282059e9,1.3205974986194797e9,5.030719616935498e8,9.157168920604919,1.3203008535816597e7,9.183510538836382,2.0659227110465825e7,9.130827302373454,6.066596329386279e6,2.7561360129154315e6,3.310460316470837e6
3403.6418072029974,1.0e-5,4988.683511714998,5869.019200413677,19889.615834444478,1.0e-5,9533.231398151807,1.0e-5,1.0e-5,15466.113838662455,1.0e-5,1183.704330872466,1083.786201577114,Sample 37,4.072276198724467e9,4.594286992124653e9,5.009713470227408e9,1.3528637496056974e9,5.220107934001863e8,9.16135409592523,1.4328932672039956e7,9.219723579626127,2.0955249249602415e7,9.102984612224324,6.193526089893626e6,3.013310577426509e6,3.180215512467111e6
3340.111114405593,1.0e-5,4723.8367969242445,5942.242958405117,20339.778285991844,1.0e-5,10634.046854038868,1.0e-5,1.0e-5,14909.653079902862,1.0e-5,2058.5476916063067,833.4721850517831,Sample 38,4.1128925222409563e9,4.615885975975792e9,5.018696429297516e9,1.3086143603782828e9,5.029934537348361e8,8.826076176433528,1.2386554960342584e7,9.150829159420292,2.155615125260748e7,8.50132319344676,7.16487195327119e6,2.6012593488378054e6,4.563612604433392e6
2834.0030146634053,1.0e-5,5564.481817082206,5688.739355127366,19601.73272901888,1.0e-5,10466.467084147489,1.0e-5,1.0e-5,15722.722757572057,1.0e-5,1257.3853180437561,906.36168191277,Sample 39,4.1180701912891417e9,4.61345459919204e9,5.008872954100355e9,1.2862211177195277e9,4.953844079028985e8,8.522547108443606,1.2758023751407165e7,8.669874800000004,2.076114905195327e7,8.375219416887209,5.819227718767764e6,2.7017729424673305e6,3.1174547763004457e6
3731.8259367608916,1.0e-5,4860.589433183406,5931.868779873809,20403.773724546474,1.0e-5,10308.947082665223,1.0e-5,1.0e-5,15346.93365473412,1.0e-5,1213.2007178103925,724.5194851738943,Sample 40,4.1017863946394167e9,4.606662424294758e9,5.009189748292001e9,1.3099306776498253e9,5.0487602965534145e8,8.79644044041168,1.4034645206624772e7,8.848544157992022,2.005996891561654e7,8.74433672283134,6.040949059888059e6,2.9482428759787045e6,3.092706183909356e6
2831.1076276798494,1.0e-5,5821.917921175428,5615.857203256456,19730.450331301683,1.0e-5,10603.724211181332,1.0e-5,1.0e-5,15179.82027669631,1.0e-5,1557.7295800148163,997.3693883829274,Sample 41,4.0864991940372972e9,4.601311353568339e9,5.008923410679765e9,1.330036273753893e9,5.1481215953104204e8,8.79929702890149,1.3061486438953456e7,8.86978069699643,2.1765821905831646e7,8.728813360806557,6.642113552375736e6,2.7593199133116147e6,3.882793639064112e6
