Time_index;Nuclear;Coal;Gas;Onshore_Wind;Offshore_Wind_Fixed;Offshore_Wind_Float;Solar;NS_Fixed_Wind;NS_Floating_Wind;Storage
137;1;1;1;0.08209182;0.473180838;0.473180838;0.002868606;0.613112611;0.613112611;1
138;1;1;1;0.101904153;0.547428816;0.547428816;0;0.642472966;0.642472966;1
139;1;1;1;0.118406529;0.609803458;0.609803458;0;0.650432198;0.650432198;1
140;1;1;1;0.139945205;0.660398973;0.660398973;0;0.622713142;0.622713142;1
141;1;1;1;0.166209627;0.702230386;0.702230386;0;0.579814711;0.579814711;1
142;1;1;1;0.188300254;0.719299668;0.719299668;0;0.528843143;0.528843143;1
143;1;1;1;0.206559588;0.69996404;0.69996404;0;0.46244448;0.46244448;1
144;1;1;1;0.22276151;0.698722615;0.698722615;0;0.415802185;0.415802185;1
145;1;1;1;0.249982919;0.702583107;0.702583107;0;0.363042162;0.363042162;1
146;1;1;1;0.263033502;0.714557408;0.714557408;0;0.294982894;0.294982894;1
147;1;1;1;0.281173635;0.711754985;0.711754985;0;0.23465756;0.23465756;1
148;1;1;1;0.294221339;0.696627232;0.696627232;0;0.19474225;0.19474225;1
149;1;1;1;0.305170966;0.679718187;0.679718187;0;0.188242646;0.188242646;1
150;1;1;1;0.325935989;0.650314942;0.650314942;0;0.213608594;0.213608594;1
151;1;1;1;0.347186289;0.614166583;0.614166583;0;0.209137862;0.209137862;1
152;1;1;1;0.364438207;0.592549316;0.592549316;0;0.168715161;0.168715161;1
153;1;1;1;0.37447879;0.577911562;0.577911562;0.005414645;0.200668808;0.200668808;1
154;1;1;1;0.366484372;0.573982215;0.573982215;0.068518101;0.281438074;0.281438074;1
155;1;1;1;0.308609702;0.557274406;0.557274406;0.151905789;0.32593548;0.32593548;1
156;1;1;1;0.309773367;0.532405461;0.532405461;0.241400468;0.328008334;0.328008334;1
157;1;1;1;0.327455476;0.520158168;0.520158168;0.290844108;0.335607819;0.335607819;1
158;1;1;1;0.351363107;0.52715305;0.52715305;0.288089914;0.393102993;0.393102993;1
159;1;1;1;0.374009206;0.535714336;0.535714336;0.231164713;0.451889528;0.451889528;1
160;1;1;1;0.404739358;0.537765382;0.537765382;0.115917558;0.491480651;0.491480651;1
161;1;1;1;0.456445286;0.540850048;0.540850048;0.00464187;0.499084373;0.499084373;1
162;1;1;1;0.468373348;0.544150999;0.544150999;0;0.510187879;0.510187879;1
163;1;1;1;0.456631823;0.547325049;0.547325049;0;0.528643566;0.528643566;1
164;1;1;1;0.441100784;0.560664602;0.560664602;0;0.539233364;0.539233364;1
165;1;1;1;0.426718247;0.57689706;0.57689706;0;0.541458185;0.541458185;1
166;1;1;1;0.416680624;0.587553045;0.587553045;0;0.54004699;0.54004699;1
167;1;1;1;0.370063164;0.603574955;0.603574955;0;0.524295583;0.524295583;1
168;1;1;1;0.382719264;0.607854439;0.607854439;0;0.53677327;0.53677327;1
169;1;1;1;0.393807978;0.60764864;0.60764864;0;0.537665598;0.537665598;1
170;1;1;1;0.39904007;0.607650649;0.607650649;0;0.520750412;0.520750412;1
171;1;1;1;0.408449181;0.611368546;0.611368546;0;0.488760382;0.488760382;1
172;1;1;1;0.400802831;0.61552879;0.61552879;0;0.449499705;0.449499705;1
173;1;1;1;0.402358513;0.623558133;0.623558133;0;0.400264103;0.400264103;1
174;1;1;1;0.406780944;0.631096357;0.631096357;0;0.347708735;0.347708735;1
175;1;1;1;0.412653618;0.633223618;0.633223618;0;0.302983208;0.302983208;1
176;1;1;1;0.428994182;0.63810489;0.63810489;0;0.264376281;0.264376281;1
177;1;1;1;0.447558033;0.644185891;0.644185891;0.007236074;0.241185005;0.241185005;1
178;1;1;1;0.440863284;0.646761213;0.646761213;0.14910667;0.235531084;0.235531084;1
179;1;1;1;0.358433786;0.645223427;0.645223427;0.286612818;0.221510697;0.221510697;1
180;1;1;1;0.360478151;0.653455027;0.653455027;0.408372017;0.219452074;0.219452074;1
